Source;Target;Weight;In index
Trubetskoj Ivan Dmitrievich;Leo Tolstoy;1;1
Leo Tolstoy;Panaev Ivan Ivanovich;1;10
Kursinskij Aleksandr Antonovich;Leo Tolstoy;1;10
Chernov Viktor Mihajlovich;Leo Tolstoy;1;1
Bojarskij Aleksandr Sergeevich;Leo Tolstoy;1;1
Mikluho-Maklaj Nikolaj Nikolaevich;Leo Tolstoy;1;10
Gomboev Dampil Gomboevich;Leo Tolstoy;1;1
Vereschenko Nikolaj Alekseevich;Leo Tolstoy;1;1
Marso Sofi;Leo Tolstoy;1;1
Leo Tolstoy;Aleksandr_II;2;10
Mejvor Dzhejms;Leo Tolstoy;1;1
Lunacharskij Anatolij Vasil'evich;Leo Tolstoy;1;10
Kolobaev Aleksandr Arkad'evich;Leo Tolstoy;1;1
Stahovich Aleksandr Aleksandrovich;Leo Tolstoy;1;10
Gulakjan Armen Karapetovich;Leo Tolstoy;1;1
Golosov Il'ja Aleksandrovich;Leo Tolstoy;1;1
Durova Natal'ja Jur'evna;Leo Tolstoy;1;10
Zjazikov Bagaudin Husejnovich;Leo Tolstoy;1;1
Nin Andreu;Leo Tolstoy;1;1
Schedrin Rodion Konstantinovich;Leo Tolstoy;1;1
Luzhskij Vasilij Vasil'evich;Leo Tolstoy;1;1
Harito Nikolaj Ivanovich;Leo Tolstoy;1;1
Narokov Mihail Semenovich;Leo Tolstoy;1;1
Soldatov Oleg Jur'evich;Leo Tolstoy;1;1
Uspenskij Nikolaj Vasil'evich;Leo Tolstoy;1;10
Dimiters Artur;Leo Tolstoy;1;1
Butromeev Vladimir Petrovich;Leo Tolstoy;1;1
Smil'gis Eduard Janovich;Leo Tolstoy;1;1
Apsit Aleksandr Petrovich;Leo Tolstoy;1;1
Milonov Nikolaj Aleksandrovich;Leo Tolstoy;1;1
Leo Tolstoy;Disterveg Adol'f;1;10
Gruzenberg Semen Osipovich;Leo Tolstoy;1;10
Savodnik Vladimir Fedorovich;Leo Tolstoy;1;1
Moskvin Ivan Mihajlovich;Leo Tolstoy;1;1
Tolstoj Il'ja;Leo Tolstoy;1;10
Blinnikov Sergej Kapitonovich;Leo Tolstoy;1;1
Bjalokozovich Bazyli;Leo Tolstoy;1;1
Gorbov Nikolaj Mihajlovich;Leo Tolstoy;1;1
Sleptsov Nikolaj Pavlovich;Leo Tolstoy;1;10
Shul'ts Arsenij Leonidovich;Leo Tolstoy;1;1
Peterson Mihail Nikolaevich;Leo Tolstoy;1;1
Vitaly Solomin;Leo Tolstoy;1;1
Draganov Petr Danilovich;Leo Tolstoy;1;10
Komarov Matvej;Leo Tolstoy;1;10
Morkov Arkadij Ivanovich;Leo Tolstoy;1;10
Beljaev Aleksandr Petrovich;Leo Tolstoy;1;10
Libedinskaja Lidija Borisovna;Leo Tolstoy;1;1
Massal'skij Pavel Vladimirovich;Leo Tolstoy;2;1
Rostovtsev Nikolaj Jakovlevich;Leo Tolstoy;1;10
Hlebnikov Velimir;Leo Tolstoy;1;1
Tolstaja Tat'jana Nikitichna;Leo Tolstoy;1;1
Popov Pavel Sergeevich;Leo Tolstoy;2;1
Loris-Melikov Mihail Tarielovich;Leo Tolstoy;1;10
Styka Jan;Leo Tolstoy;1;10
Leo Tolstoy;Sollogub Vladimir Aleksandrovich;1;10
Leo Tolstoy;Leonov Leonid Maksimovich;1;1
Ivanov Petr Konstantinovich;Leo Tolstoy;1;1
Zepalov Petr Nikolaevich;Leo Tolstoy;1;1
Shelohonov Petr Illarionovich;Leo Tolstoy;1;1
Adashev Aleksandr Ivanovich;Leo Tolstoy;1;1
Leo Tolstoy;Heinrich Mann;1;1
Gal'perin-Kaminskij Il'ja Daniilovich;Leo Tolstoy;1;10
Ikskul' fon Gil'denband Varvara Ivanovna;Leo Tolstoy;1;10
Lambl' Jan Baptista;Leo Tolstoy;1;1
Leo Tolstoy;Il'in Ivan Aleksandrovich;1;1
Sytin Ivan Dmitrievich;Leo Tolstoy;1;10
Volkov Mihail Davidovich;Leo Tolstoy;1;1
Aldanov Mark Aleksandrovich;Leo Tolstoy;1;1
Schedrin Boris Efimovich;Leo Tolstoy;1;1
Francis Davis Millet;Leo Tolstoy;1;1
Depreradovich Leontij Ivanovich;Leo Tolstoy;1;10
Kadono Ejko;Leo Tolstoy;1;1
Mareev Sergej Nikolaevich;Leo Tolstoy;1;1
Malevanov Nikolaj Aleksandrovich;Leo Tolstoy;1;1
Kaplan Avraam Elijau;Leo Tolstoy;1;1
Paul de Kock;Leo Tolstoy;1;10
Lebedeva Ol'ga Sergeevna;Leo Tolstoy;1;10
Gorchakov Mihail Alekseevich;Leo Tolstoy;1;1
Gal'perin Fal'k;Leo Tolstoy;1;1
Gapon Georgij Apollonovich;Leo Tolstoy;1;1
Albert Einstein;Leo Tolstoy;1;1
Mengden Vladimir Mihajlovich;Leo Tolstoy;1;10
Rybakov Konstantin Nikolaevich;Leo Tolstoy;1;1
Rjashentsev Jurij Evgen'evich;Leo Tolstoy;1;1
Ryzhova Varvara Nikolaevna;Leo Tolstoy;1;1
Karamzina Ekaterina Andreevna;Leo Tolstoy;1;1
Sarakaev Hamzat Ibragim-Bekovich;Leo Tolstoy;1;1
Venttsel' Nikolaj Nikolaevich;Leo Tolstoy;1;10
Dobroljubov Aleksandr Mihajlovich;Leo Tolstoy;1;10
Shvejtser Mihail Abramovich;Leo Tolstoy;1;1
Shlenskij Avraam;Leo Tolstoy;1;1
Davydov Stepan Ivanovich;Leo Tolstoy;1;1
Piljavskaja Sof'ja Stanislavovna;Leo Tolstoy;1;1
Shosson Ernest;Leo Tolstoy;1;1
Birman Serafima Germanovna;Leo Tolstoy;1;1
Nemirovich-Danchenko Vladimir Ivanovich;Leo Tolstoy;1;10
Johann Wolfgang von Goethe;Leo Tolstoy;1;10
Am'el' Anri-Frederik;Leo Tolstoy;1;1
Bondarev Timofej Mihajlovich;Leo Tolstoy;1;10
Baradijn Bazar Baradievich;Leo Tolstoy;1;1
Sudakov Il'ja Jakovlevich;Leo Tolstoy;1;1
Ostroumov Lev Evgen'evich;Leo Tolstoy;1;10
Shajmerdenov Safuan;Leo Tolstoy;1;1
Furmanov Vladislav Rudol'fovich;Leo Tolstoy;1;1
Ratgauz Daniil Maksimovich;Leo Tolstoy;1;10
Gejrot Aleksandr Aleksandrovich;Leo Tolstoy;1;1
Praudin Anatolij Arkad'evich;Leo Tolstoy;1;1
Lengli Uolter;Leo Tolstoy;1;1
Ryunosuke Akutagawa;Leo Tolstoy;1;1
Islavin Vladimir Aleksandrovich;Leo Tolstoy;1;10
Koonen Alisa Georgievna;Leo Tolstoy;1;1
Zajdel' Lev Davidovich;Leo Tolstoy;1;1
Babjatinskij Valerij Konstantinovich;Leo Tolstoy;1;1
Zabludovskij Izil' Zaharovich;Leo Tolstoy;1;1
Glebov Petr Petrovich;Leo Tolstoy;1;1
Drutse Ion Panteleevich;Leo Tolstoy;1;1
Leo Tolstoy;Honoré de Balzac;1;10
Kudrjavtsev Ivan Mihajlovich;Leo Tolstoy;1;1
Kochetkov Afanasij Ivanovich;Leo Tolstoy;1;10
Fonda Genri;Leo Tolstoy;1;1
Tarabarinov Leonid Semenovich;Leo Tolstoy;1;1
Simonov Ruben Nikolaevich;Leo Tolstoy;1;1
Dzhimala Mihal;Leo Tolstoy;1;1
Moravov Aleksandr Viktorovich;Leo Tolstoy;1;10
Kurnakov Andrej Il'ich;Leo Tolstoy;1;1
Dolginin Mihail Andreevich;Leo Tolstoy;1;1
Konovnitsyn Petr Petrovich;Leo Tolstoy;1;10
Batyrmurzaev Zajnalabid Nuhaevich;Leo Tolstoy;1;1
Dombrovskaja Marija;Leo Tolstoy;1;1
Zabijakin Evgenij Konstantinovich;Leo Tolstoy;1;1
Akimov Viktor Akimovich;Leo Tolstoy;1;1
Leo Tolstoy;Suhotina-Tolstaja Tat'jana L'vovna;1;1
Mel'nik Mihail Vasil'evich;Leo Tolstoy;1;1
Zhuravlev Dmitrij Nikolaevich;Leo Tolstoy;1;1
Bresson Rober;Leo Tolstoy;1;1
Petritskij Anatolij Anatol'evich;Leo Tolstoy;1;1
Korolenko Vladimir Galaktionovich;Leo Tolstoy;1;10
Akser Ervin;Leo Tolstoy;1;1
Leo Tolstoy;Men'shov Vladimir Valentinovich;1;1
Admoni Iogann Grigor'evich;Leo Tolstoy;1;1
Kahana Mozesh;Leo Tolstoy;1;1
Burov Fedor Emel'janovich;Leo Tolstoy;1;1
Il'in Boris Fedorovich;Leo Tolstoy;1;1
Plammer Kristofer;Leo Tolstoy;1;1
Bljumental'-Tamarina Marija Mihajlovna;Leo Tolstoy;1;1
Golitsyn Vasilij Dmitrievich;Leo Tolstoy;1;1
Davydov Vladimir Nikolaevich;Leo Tolstoy;1;10
Chudakov Sergej Mihajlovich;Leo Tolstoy;1;1
Agurskij Mihail Samuilovich;Leo Tolstoy;1;1
Shejn Pavel Vasil'evich;Leo Tolstoy;1;1
But Viktor Anatol'evich;Leo Tolstoy;1;1
Sheberg Al'f;Leo Tolstoy;1;1
Leo Tolstoy;Zhitova Varvara Nikolaevna;1;1
Taker Bendzhamin Riketson;Leo Tolstoy;1;1
Pertsov Petr Petrovich;Leo Tolstoy;1;1
Makintajr Alasder;Leo Tolstoy;1;1
Mazon Andre;Leo Tolstoy;1;10
Makkrori Helen;Leo Tolstoy;1;1
Anastasiya Vertinskaya;Leo Tolstoy;1;1
Faddeev Aleksej Evgen'evich;Leo Tolstoy;1;1
Berkengejm Abram Moiseevich;Leo Tolstoy;1;1
Jakovlev Ivan Jakovlevich;Leo Tolstoy;1;1
Harms Daniil Ivanovich;Leo Tolstoy;1;1
Leo Tolstoy;Arthur Schopenhauer;1;10
Tereshko Aleksandr Nikolaevich;Leo Tolstoy;1;1
Grave Aleksandr Konstantinovich;Leo Tolstoy;1;10
Tizengauzen Ekaterina Fedorovna;Leo Tolstoy;1;10
Okruzhnaja Svetlana Artemovna;Leo Tolstoy;1;1
Gritsenko Nikolaj Olimpievich;Leo Tolstoy;1;1
Eliava Shalva Zurabovich;Leo Tolstoy;1;1
Solomin Jurij Mefod'evich;Leo Tolstoy;1;1
Cherkasov Nikolaj Konstantinovich;Leo Tolstoy;1;1
Batalov Nikolaj Petrovich;Leo Tolstoy;1;1
Berzinja Lilita;Leo Tolstoy;1;1
Cesare Lombroso;Leo Tolstoy;1;10
Kaplanjan Rach'ja Nikitovich;Leo Tolstoy;1;1
Bogomolets Aleksandr Aleksandrovich;Leo Tolstoy;1;10
Gol'denvejzer Aleksandr Borisovich;Leo Tolstoy;1;10
Kopejko Jurij Vasil'evich;Leo Tolstoy;1;1
Vorontsova-Dashkova Elizaveta Andreevna;Leo Tolstoy;1;1
Helena Petrovna Blavatsky;Leo Tolstoy;3;10
Leo Tolstoy;Motsart Vol'fgang Amadej;1;10
Kutuzov Mihail Illarionovich;Leo Tolstoy;1;10
L'vov Vladimir Vladimirovich;Leo Tolstoy;1;10
Osmanly Ismail Osman ogly;Leo Tolstoy;1;1
Guljaeva Nina Ivanovna;Leo Tolstoy;1;1
Ber Nikolaj Nikolaevich;Leo Tolstoy;1;10
Golitsyn Aleksandr Nikolaevich;Leo Tolstoy;1;10
Blaise Pascal;Leo Tolstoy;1;10
Shuler Evgenij;Leo Tolstoy;1;1
Svetlovidov Nikolaj Afanas'evich;Leo Tolstoy;1;1
Burmistrova Natal'ja Mihajlovna;Leo Tolstoy;1;1
Vargin Vasilij Vasil'evich;Leo Tolstoy;1;1
Leo Tolstoy;Ekaterina_II;1;10
Leo Tolstoy;Eliza Orzeszkowa;1;1
Stupka Bogdan Sil'vestrovich;Leo Tolstoy;1;1
Sumskaja Natal'ja Vjacheslavovna;Leo Tolstoy;1;1
Bulgakova Varvara Petrovna;Leo Tolstoy;1;1
Shletser Boris de;Leo Tolstoy;1;1
Volkonskij Nikolaj Sergeevich;Leo Tolstoy;2;10
Astashev Nikolaj Illarionovich;Leo Tolstoy;1;1
Figner Nikolaj Nikolaevich;Leo Tolstoy;1;10
Pokrovskij Nikolaj Aleksandrovich;Leo Tolstoy;1;1
Miljutin Ivan Andreevich;Leo Tolstoy;1;1
