Source;Target;Weight;
Остроумов, Лев Евгеньевич;Tolstoy;1;
Шаймерденов, Сафуан;Tolstoy;1;
Фурманов, Владислав Рудольфович;Tolstoy;1;
Ратгауз, Даниил Максимович;Tolstoy;1;
Гейрот, Александр Александрович;Tolstoy;1;
Праудин, Анатолий Аркадьевич;Tolstoy;1;
Лэнгли, Уолтер;Tolstoy;1;
Ryunosuke Akutagawa;Tolstoy;1;
Иславин, Владимир Александрович;Tolstoy;1;
Коонен, Алиса Георгиевна;Tolstoy;1;
Зайдель, Лев Давидович;Tolstoy;1;
Бабятинский, Валерий Константинович;Tolstoy;1;
Заблудовский, Изиль Захарович;Tolstoy;1;
Глебов, Пётр Петрович;Tolstoy;1;
Друцэ, Ион Пантелеевич;Tolstoy;1;
Tolstoy;Honoré de Balzac;1;
Кудрявцев, Иван Михайлович;Tolstoy;1;
Кочетков, Афанасий Иванович;Tolstoy;1;
Фонда, Генри;Tolstoy;1;
Тарабаринов, Леонид Семёнович;Tolstoy;1;
Симонов, Рубен Николаевич;Tolstoy;1;
Джимала, Михал;Tolstoy;1;
Моравов, Александр Викторович;Tolstoy;1;
Курнаков, Андрей Ильич;Tolstoy;1;
Долгинин, Михаил Андреевич;Tolstoy;1;
Коновницын, Пётр Петрович;Tolstoy;1;
Батырмурзаев, Зайналабид Нухаевич;Tolstoy;1;
Домбровская, Мария;Tolstoy;1;
Забиякин, Евгений Константинович;Tolstoy;1;
Акимов, Виктор Акимович;Tolstoy;1;
Tolstoy;Сухотина-Толстая, Татьяна Львовна;1;
Мельник, Михаил Васильевич;Tolstoy;1;
Журавлёв, Дмитрий Николаевич;Tolstoy;1;
Брессон, Робер;Tolstoy;1;
Петрицкий, Анатолий Анатольевич;Tolstoy;1;
Короленко, Владимир Галактионович;Tolstoy;1;
Аксер, Эрвин;Tolstoy;1;
Tolstoy;Меньшов, Владимир Валентинович;1;
Адмони, Иоганн Григорьевич;Tolstoy;1;
Кахана, Мозеш;Tolstoy;1;
Буров, Фёдор Емельянович;Tolstoy;1;
Ильин, Борис Фёдорович;Tolstoy;1;
Пламмер, Кристофер;Tolstoy;1;
Блюменталь-Тамарина, Мария Михайловна;Tolstoy;1;
Голицын, Василий Дмитриевич;Tolstoy;1;
Давыдов, Владимир Николаевич;Tolstoy;1;
Чудаков, Сергей Михайлович;Tolstoy;1;
Агурский, Михаил Самуилович;Tolstoy;1;
Шейн, Павел Васильевич;Tolstoy;1;
Бут, Виктор Анатольевич;Tolstoy;1;
Шёберг, Альф;Tolstoy;1;
Tolstoy;Житова, Варвара Николаевна;1;
Такер, Бенджамин Рикетсон;Tolstoy;1;
Перцов, Пётр Петрович;Tolstoy;1;
Макинтайр, Аласдер;Tolstoy;1;
Мазон, Андре;Tolstoy;1;
Маккрори, Хелен;Tolstoy;1;
Anastasiya Vertinskaya;Tolstoy;1;
Фаддеев, Алексей Евгеньевич;Tolstoy;1;
Беркенгейм, Абрам Моисеевич;Tolstoy;1;
Яковлев, Иван Яковлевич;Tolstoy;1;
Хармс, Даниил Иванович;Tolstoy;1;
Tolstoy;Arthur Schopenhauer;1;
Терешко, Александр Николаевич;Tolstoy;1;
Граве, Александр Константинович;Tolstoy;1;
Тизенгаузен, Екатерина Фёдоровна;Tolstoy;1;
Окружная, Светлана Артёмовна;Tolstoy;1;
Гриценко, Николай Олимпиевич;Tolstoy;1;
Элиава, Шалва Зурабович;Tolstoy;1;
Соломин, Юрий Мефодьевич;Tolstoy;1;
Черкасов, Николай Константинович;Tolstoy;1;
Баталов, Николай Петрович;Tolstoy;1;
Берзиня, Лилита;Tolstoy;1;
Cesare Lombroso;Tolstoy;1;
Капланян, Рачья Никитович;Tolstoy;1;
Богомолец, Александр Александрович;Tolstoy;1;
Гольденвейзер, Александр Борисович;Tolstoy;1;
Копейко, Юрий Васильевич;Tolstoy;1;
Воронцова-Дашкова, Елизавета Андреевна;Tolstoy;1;
